Date;Tests;ConfirmedCases;Deaths
25/01/2020;31;0;0
26/01/2020;52;0;0
27/01/2020;73;0;0
28/01/2020;97;0;0
29/01/2020;130;0;0
30/01/2020;161;0;0
31/01/2020;177;2;0
01/02/2020;203;2;0
02/02/2020;266;2;0
03/02/2020;326;2;0
04/02/2020;416;2;0
05/02/2020;468;2;0
06/02/2020;566;3;0
07/02/2020;620;3;0
08/02/2020;686;3;0
09/02/2020;795;4;0
10/02/2020;1114;8;0
11/02/2020;1358;8;0
12/02/2020;1758;8;0
13/02/2020;2521;9;0
14/02/2020;2964;9;0
15/02/2020;2992;9;0
16/02/2020;3109;9;0
17/02/2020;4501;9;0
18/02/2020;4916;9;0
19/02/2020;5207;9;0
20/02/2020;5549;9;0
21/02/2020;5885;9;0
22/02/2020;6152;9;0
23/02/2020;6324;9;0
24/02/2020;6536;13;0
25/02/2020;6795;13;0
26/02/2020;7132;13;0
27/02/2020;7690;13;0
28/02/2020;8986;19;0
29/02/2020;10483;23;0
01/03/2020;11750;35;0
02/03/2020;13525;40;0
03/03/2020;13911;51;0
04/03/2020;16659;85;0
05/03/2020;18083;114;0
06/03/2020;20338;160;1
07/03/2020;21460;206;2
08/03/2020;23513;271;2
09/03/2020;24960;321;3
10/03/2020;26261;373;7
11/03/2020;27476;456;7
12/03/2020;29764;590;9
13/03/2020;32771;797;10
14/03/2020;37746;1061;28
15/03/2020;40279;1391;43
16/03/2020;44105;1543;65
17/03/2020;50442;1950;81
18/03/2020;56221;2626;115
19/03/2020;64621;3269;158
20/03/2020;66976;3983;194
21/03/2020;72818;5018;250
22/03/2020;78340;5683;285
23/03/2020;83945;6650;359
24/03/2020;90436;8077;508
25/03/2020;97019;9529;694
26/03/2020;104866;11658;877
27/03/2020;113777;14543;1161
28/03/2020;120776;17089;1455
29/03/2020;127737;19522;1669
30/03/2020;134946;22141;2043
31/03/2020;143186;25150;2425
01/04/2020;152979;29474;3095
02/04/2020;163194;33718;3747
03/04/2020;173784;38168;4461
04/04/2020;183190;41903;5221
05/04/2020;195524;47806;5865
06/04/2020;208837;51608;6433
07/04/2020;213181;55242;7471
08/04/2020;232708;60733;8505
09/04/2020;243421;65077;9608
10/04/2020;256605;70272;10760
11/04/2020;269598;78991;11599
12/04/2020;282279;84279;12285
13/04/2020;290720;88621;13029
14/04/2020;302599;93873;14073
15/04/2020;313769;98476;14915
16/04/2020;327608;103093;15944
17/04/2020;341551;108692;16879
18/04/2020;357023;114217;17994
19/04/2020;372967;120067;18492
20/04/2020;386044;124743;19051
21/04/2020;397670;129044;20223
22/04/2020;411192;133495;21060
23/04/2020;425821;138078;21787
24/04/2020;444222;143464;22792
25/04/2020;517836;148377;23635
26/04/2020;543413;152840;24055
27/04/2020;569768;157149;24393
28/04/2020;599339;161145;25302
29/04/2020;632794;165221;26097
30/04/2020;687369;171253;26771
01/05/2020;762279;177454;27510
02/05/2020;825946;182260;28131
03/05/2020;882343;186599;28446
04/05/2020;945299;190584;28734
05/05/2020;1015138;194990;29427
06/05/2020;1072144;201101;30076
07/05/2020;1139626;206715;30615
08/05/2020;1207069;211364;31241
09/05/2020;1270408;215260;31586
10/05/2020;1334770;219183;31855
11/05/2020;1400107;223060;32065
12/05/2020;1460517;226463;32692
13/05/2020;1522258;229705;33186
14/05/2020;1593902;233151;33614
15/05/2020;1663492;236711;33998
16/05/2020;1742028;240161;34466
17/05/2020;1818712;243695;34636
18/05/2020;1887051;246406;34796
19/05/2020;;;35341
